term,definitions,hierarchy_paths,sources
streamflow,[],[],['AGU Index Terms']
streamflow reconstruction,['Reconstruction of past streamflow conditions based on paleoclimate proxy records (related to drought/precipitation records).'],"['EARTH SCIENCE -> CLIMATE INDICATORS -> PALEOCLIMATE INDICATORS -> PALEOCLIMATE RECONSTRUCTIONS -> STREAMFLOW RECONSTRUCTION', 'EARTH SCIENCE -> PALEOCLIMATE -> PALEOCLIMATE RECONSTRUCTIONS -> STREAMFLOW RECONSTRUCTION']",['GCMD']
streamfunctions,"['A parameter of two-dimensional, nondivergent flow, with a value that is constant along each streamline.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WINDS -> WIND DYNAMICS -> STREAMFUNCTIONS'],['GCMD']
street cleaning,"['The process of removing dirt, litter or other unsightly materials from city or town streets.']",['services -> public service -> municipal cleansing -> street cleaning'],['GEMET']
strength of materials,[],['material -> properties of materials -> strength of materials'],['GEMET']
stress,"['A stimulus or succession of stimuli of such magnitude as to tend to disrupt the homeostasis of the organism.', ""Pertaining to the pressure which builds-up in the Earth's crust due to externalloading, such as from collision of tectonic plates, addition/removal of water,advancing or receding of glaciers, etc.""]","['disease -> human disease -> stress', 'EARTH SCIENCE -> SOLID EARTH -> TECTONICS -> PLATE TECTONICS -> STRESS']","['GEMET', 'GCMD']"
stresses: crust and lithosphere,[],[],['AGU Index Terms']
stresses: deep-seated,[],[],['AGU Index Terms']
stresses: general,[],[],['AGU Index Terms']
strip mining,"['Superficial mining, in which the valuable rock is exposed by removal of overburden. Coal, numerous nonmetals and metalliferous ores (iron and copper) are worked in this way. Sinonym: strip mining, opencast mining, openpit mining.']",['resource utilisation -> extraction -> mining -> strip mining'],['GEMET']
strong,['Highly likely given the available evidence.Considered in the range of 7-10 on a scale of 0-10.'],['Strong'],['SPASE Dictionary']
strong acidity,['High degree of ionization of an acid in water solution.'],['chemical property -> concentration (value) -> acidity degree -> acidity -> strong acidity'],['GEMET']
strontium,"['A soft silvery-white element of the alkaline earth group of metals, occurring chiefly as celestite and as strontianite. Its compounds burn with a crimson flame and are used in fire works.']",['chemical element -> element of group II (alkaline earth metals) -> strontium'],['GEMET']
strontium lidar,[],['StrontiumLidar -> strontium lidar'],['HELIO Ontology']
structural adjustment program,"['A program for economic reforms aimed at improving or liberalizing an economy, which is advocated and imposed by the World Bank and International Monetary Fund on poor or developing countries in exchange for new loans.']",['environmental planning -> programme -> structural adjustment program'],['GEMET']
structural deterioration,"[""Any localized destruction or weakness of a building's structural system that can trigger broader instability or collapse.""]",['EARTH SCIENCE -> HUMAN DIMENSIONS -> INFRASTRUCTURE -> STRUCTURAL DETERIORATION'],['GCMD']
structural geology,[],[],['AGU Index Terms']
structure,['The organization and relationship ofindividual values within a quantity.'],['Structure'],['SPASE Dictionary']
structure plan,['Metropolitan structure and land use plan intended to outline the general lines along which development should proceed in an area.'],['environmental planning -> plan -> structure plan'],['GEMET']
structure-activity relationship,['The association between a chemical structure and carcinogenicity.'],['chemical property -> structure-activity relationship'],['GEMET']
structure-borne noise,['Sound that travels over at least part of its path by means of the vibration of a solid structure.'],['science -> physical science -> acoustics -> noise -> noise type -> structure-borne noise'],['GEMET']
sturgeons/paddlefishes,"['Phylum Chordata. Class Actinopterygii. Order Acipenseriformes, which includes sturgeons and paddlefish, are ray-finned fish with a cartilaginous endoskeleton and no vertebral centrum']",['EARTH SCIENCE -> BIOLOGICAL CLASSIFICATION -> ANIMALS/VERTEBRATES -> FISH -> RAY-FINNED FISHES -> STURGEONS/PADDLEFISHES'],['GCMD']
style,['The manner in which a response from a URL ispresented.'],['Style'],['SPASE Dictionary']
sub auroral region,"['When considering the case of the Earth, thesub-auroral region typically refers to two latitudinal bands, one in thenorthern hemisphere and the other in the southern hemisphere extending fromabout 50 degrees to low 60 degrees. The concept sub-auroral regions does notapply to all bodies in the solar system and different latitudinal rangeswould apply for each body case by case. The sub-auroral regions may bedefined by using either planetographic or magnetic coordinates if themagnetic dipole is closely aligned with the spin axis of a magnetized body.Ground magnetometers located at sub-auroral latitudes on the Earth measure amixture of activity driven by auroral zone currents and the ring current.']",['SubAuroralRegion -> sub auroral region'],['SPASE Dictionary']
sub-atomic particle flux,"['These particles include atomic constituents such as electrons, protons, and neutrons (protons and neutrons are actually composite particles, made up of quarks), as well as other particles such as photons and neutrinos which are produced copiously in the sun. However, most of the particles that have been discovered and studied are not encountered under normal earth conditions; they are produced in cosmic rays and during scattering processes in particle accelerators.']",['EARTH SCIENCE -> SUN-EARTH INTERACTIONS -> SOLAR ENERGETIC PARTICLE FLUX -> SUB-ATOMIC PARTICLE FLUX'],['GCMD']
sub-bottom profile,"['Sub-bottom profiles provide three dimensional information about the sea floor and the layers that lie beneath, data which is collected by a sub-bottom profiling system.']",['EARTH SCIENCE -> OCEANS -> BATHYMETRY/SEAFLOOR TOPOGRAPHY -> SUB-BOTTOM PROFILE'],['GCMD']
sub-debris melt enhancement,['Glacier melt rates are influenced by the presence of supraglacial debris. Supraglacial debris can either enhance or reduce ablation relative to bare ice.'],['EARTH SCIENCE -> CRYOSPHERE -> GLACIERS/ICE SHEETS -> GLACIERS -> SUB-DEBRIS MELT ENHANCEMENT'],['GCMD']
sub-national boundary,['The line demarcating a territory located within the limits of a State.'],['border -> national boundary -> sub-national boundary'],['GEMET']
subalpine,['Pertaining to high upland slopes and especially the zone just below the timberline.'],['EARTH SCIENCE -> BIOSPHERE -> ECOSYSTEMS -> TERRESTRIAL ECOSYSTEMS -> ALPINE/TUNDRA -> SUBALPINE'],['GCMD']
subaqueous volcanism,[],[],['AGU Index Terms']
subduction,"[""The process that takes place at convergent boundaries by which one tectonic plate moves under another tectonic plate, sinking into the Earth's mantle, as the plates converge. A subduction zone is an area on Earth where two tectonic plates move towards one another and subduction occurs."", ""A geological process in which the oceanic lithosphere is recycled into the Earth's mantle at convergent boundaries. Where the oceanic lithosphere of a tectonic plate converges with the less dense lithosphere of a second plate, the heavier plate dives beneath the second plate and sinks into the mantle.""]","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> TECTONIC PROCESSES -> SUBDUCTION', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> TECTONIC PROCESSES -> SUBDUCTION', 'EARTH SCIENCE -> OCEANS -> OCEAN CIRCULATION -> SUBDUCTION']",['GCMD']
subduction zone processes,[],[],['AGU Index Terms']
subduction zones,[],[],['AGU Index Terms']
subgrid-scale,[],[],['AGU Index Terms']
subject,[],['subject'],['GEMET']
sublimation,['The process of phase transition from solid directly to vapor in the absence of melting.'],"['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WATER VAPOR -> WATER VAPOR PROCESSES -> SUBLIMATION', 'EARTH SCIENCE -> CRYOSPHERE -> SEA ICE -> SEA ICE VOLUME BUDGET -> SUBLIMATION', 'EARTH SCIENCE -> CRYOSPHERE -> SNOW/ICE -> SNOW VOLUME BUDGET -> SUBLIMATION']",['GCMD']
submarine,[],['transportation mean -> vehicle -> ship -> submarine'],['GEMET']
submarine canyons,"['Submarine canyon are relatively narrow, V-shaped, deep depression with steepslopes, the bottom of which grades continuously downward across the continentalslope.']",['EARTH SCIENCE -> OCEANS -> BATHYMETRY/SEAFLOOR TOPOGRAPHY -> SUBMARINE CANYONS'],['GCMD']
submarine landslides,[],[],['AGU Index Terms']
submarine morphology,['That aspect of geological oceanography which deals with the relief features of the ocean floor and with the forces that modify them.'],['land -> landform -> submarine morphology'],['GEMET']
submarine tectonics and volcanism,[],[],['AGU Index Terms']
submergence,['To cover with water; inundate.'],"['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> SUBMERGENCE', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> SUBMERGENCE']",['GCMD']
"submergence instruments: rov, auv, submersibles",[],[],['AGU Index Terms']
submesoscale eddies,"[""Submesoscale eddies can efficiently transport heat and salt in the upper ocean (Wang et al., 2018) and play an important role in the balance of energy generation and dissipation of larger scale oceanic processes (Munk et al., 2000; Zatsepin et al., 2019). However, compared to mesoscale eddies, they remain poorly studied due to technical difficulties in observing these small-scale and ephemeral ocean features. Satellite altimeters typically cannot characterize eddies smaller than 100–200 km in diameter. In subtropical and tropical oceans sea surface temperature imagery lose their spatial contrast during summer, and satellite ocean color imagery also suffer to lack of sufficient observations due to clouds, strong sun glint, and stray light (Chen et al., 2019; Hu, 2011). As a result, to date, there is generally a lack of synoptic and long-term characterization of submesoscale eddies in the world's oceans, except perhaps in some small regions when continuous land-based high frequency-radar observations are available.""]",['EARTH SCIENCE -> OCEANS -> OCEAN CIRCULATION -> EDDIES -> SUBMESOSCALE EDDIES'],['GCMD']
suborbital,[],['Suborbital'],['Space Weather Glossary (Second)']
subscription services,['Services that provide links to subscriptions toscientific/environmental Internet newsletters and notifications.'],['EARTH SCIENCE SERVICES -> REFERENCE AND INFORMATION SERVICES -> SUBSCRIPTION SERVICES'],['GCMD']
subsequent order,[],['law (corpus of rules) -> order -> subsequent order'],['GEMET']
subsetting/supersetting,"[""Subsetting/Supersetting services are defined as Data Handling Services that, in the case of subsetting, create a smaller set of Earth science data from a larger set. In the case of supersetting the service creates an aggregate dataset from the contents of several data sets. In no instance of supersetting or subsetting is the data transformed (see transformation) (e.g., averaging), only transferred from one data set to another. EXAMPLES: Global cloud-free composite image (supersetting). Selecting one station's data from a data set containing 40 stations (subsetting).""]",['EARTH SCIENCE SERVICES -> DATA MANAGEMENT/DATA HANDLING -> SUBSETTING/SUPERSETTING'],['GCMD']
subsidence,"[""1) A sinking down of a part of the earth's crust, generally due to underground excavations. 2) The sudden sinking or gradual downward settling of the Earth's surface with little or no horizontal motion. The movement is not restricted in rate, magnitude, or area involved. Subsidence may be caused by natural geologic processes, such as solution, thawing, compaction, slow crustal warping, or withdrawal of fluid lava from beneath a solid crust; or by man's activity, such as subsurface mining or the pumping of oil or ground water."", ""The motion of a surface (usually, the Earth's surface) as it shifts downward relative to a datum such as sea-level""]","['geological process -> rising (geological) -> subsidence', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> SUBSIDENCE', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> SUBSIDENCE']","['GEMET', 'GCMD']"
